ISIN,COMPANY_NAME,EXCHANGE_LISTING,NSE_SYMBOL,BSE_SCRIP_CD,BSE_SCRIP_ID
INE144J01027,20 Microns Limited,both nse/bse,20MICRONS,533022,20MICRONS
INE253B01015,21st Century Management Services Limited,both nse/bse,21STCENMGM,526921,21STCENMGM
INF579M01BP5,360 ONE MSCI India ETF,bse,,544766,MSCI360
INE466L01038,360 ONE WAM LIMITED,both nse/bse,360ONE,542772,360ONE
INE994E01018,3B Blackbio Dx Limited,both nse/bse,3BBLACKBIO,532067,3BBLACKBIO
INE0TE101010,3B Films Ltd,bse,,544412,3BFILMS
INE0R7D01018,3C IT Solutions and Telecoms (India) Ltd,bse,,544190,3CIT
INE748C01038,3i Infotech Limited,both nse/bse,3IINFOLTD,532628,3IINFOLTD
INE470A01017,3M India Limited,both nse/bse,3MINDIA,523395,3MINDIA
INE105C01023,3P Land Holdings Limited,both nse/bse,3PLAND,516092,3PLAND
INE618L01018,5Paisa Capital Limited,both nse/bse,5PAISA,540776,5PAISA
INE111B01023,63 moons technologies limited,both nse/bse,63MOONS,526881,63MOONS
INE413X01035,7NR Retail Ltd,bse,,540615,7NR
INE454F01010,7Seas Entertainment Ltd,bse,,540874,7SEASL
INE08PH01015,A B Cotspin India Limited,both nse/bse,ABCOTS,544522,ABCOTS
INE00YB01025,A B Infrabuild Limited,both nse/bse,ABINFRA,544281,ABINFRA
,A D S Diagnostics Ltd,bse,,523031,ADSDIAG
INE663P01015,A.F. Enterprises Ltd,bse,,538351,AFEL
INE911Z01025,A-1 Ltd,bse,,542012,A1L
INE619I01012,A2Z Infra Engineering Limited,both nse/bse,A2ZINFRA,533292,A2ZINFRA
INE0C5901022,AA Plus Tradelink Ltd,bse,,543319,AAPLUSTRAD
INE0D0U01013,AAA Technologies Limited,both nse/bse,AAATECH,543671,AAATECH
INE883F01010,Aadhar Housing Finance Limited,both nse/bse,AADHARHFC,544176,AADHARHFC
INE563D01013,Aadi Industries Ltd,bse,,530027,AADIIND
INE087Z01024,Aakash Exploration Services Limited,nse,AAKASH,,
INE322R01022,Aanchal Ispat Ltd,bse,,538812,AANCHALISP
INE056J01015,Aarcon Facilities Ltd,bse,,532024,AARCON
INE198H01019,Aarey Drugs & Pharmaceuticals Limited,both nse/bse,AAREYDRUGS,524412,AAREYDRUGS
INE750R01016,Aarnav Fashions Limited,both nse/bse,AARNAV,539562,AARNAV
INE721Z01010,Aaron Industries Limited,nse,AARON,,
INE01C001026,Aartech Solonics Limited,both nse/bse,AARTECH,542580,AARTECH
INE767A01016,Aarti Drugs Limited,both nse/bse,AARTIDRUGS,524348,AARTIDRUGS
INE769A01020,Aarti Industries Limited,both nse/bse,AARTIIND,524208,AARTIIND
INE0LRU01027,Aarti Pharmalabs Limited,both nse/bse,AARTIPHARM,543748,AARTIPHARM
INE09EO01013,Aarti Surfactants Limited,both nse/bse,AARTISURF,543210,AARTISURF
INE754X01016,Aarvi Encon Limited,both nse/bse,AARVI,544850,AARVI
INE0EAX01014,Aashka Hospitals Ltd,bse,,543346,AASHKA
INE819K01014,Aastamangalam Finance Ltd,bse,,511764,AASTAFIN
INE2FMX01012,Aastha Spintex Limited,both nse/bse,AASTHA,544808,AASTHA
INE216P01012,Aavas Financiers Limited,both nse/bse,AAVAS,541988,AAVAS
INE777X01017,Aayush Art And Bullion Ltd,bse,,540718,AAYUSHBULL
INE430R01023,Aayush Wellness Ltd,bse,,539528,AAYUSH
INE421A01028,Aban Offshore Limited,both nse/bse,ABAN,523204,ABAN
INE365O01028,Abans Enterprises Limited,both nse/bse,ABANSENT,512165,ABANSENT
INE00ZE01026,Abans Financial Services Limited,both nse/bse,AFSL,543712,AFSL
INE454E01013,Abate As Industries Ltd,bse,,531658,ABATEAS
INE117A01022,ABB India Limited,both nse/bse,ABB,500002,ABB
INE358A01014,Abbott India Limited,both nse/bse,ABBOTINDIA,500488,ABBOTINDIA
INE125D01011,ABC India Ltd-$,bse,,520123,ABCINDQ
INE516F01016,Abhinav Capital Services Ltd,bse,,532057,ABHICAP
INE211D01027,Abhinav Leasing & Finance Ltd,bse,,538952,ALFL
INE723C01015,Abhishek Finlease Ltd,bse,,538935,ABHIFIN
INE281P01016,Abhishek Infraventures Ltd,bse,,539544,ABHIINFRA
INE195I01013,Abirami Financial Services India Ltd,bse,,511756,ABIRAFN
INE251C01025,ABM International Limited,nse,ABMINTLLTD,,
INE850B01026,ABM Knowledgeware Limited,both nse/bse,ABMKNO,531161,ABMKNO
INE0ZDY01011,Abram Food Ltd,bse,,544422,ABRFL
INE15MX01014,Abril Paper Tech Ltd,bse,,544500,ABRIL
INE012A01025,ACC Limited,both nse/bse,ACC,500410,ACC
INE578B01015,Accedere Ltd,bse,,531533,ACCEDERE
INE258C01038,Accel Ltd,bse,,517494,ACCEL
INE0POP01017,Acceleratebs India Ltd,bse,,543938,ACCELERATE
INE793A01012,Accelya Solutions India Limited,both nse/bse,ACCELYA,532268,ACCELYA
